date,US,Spain,Italy,Germany,Russia,Brazil,France,United Kingdom,Turkey,Iran
1-22-2020,1,0,0,0,0,0,0,0,0,0
1-23-2020,0,0,0,0,0,0,0,0,0,0
1-24-2020,1,0,0,0,0,0,2,0,0,0
1-25-2020,0,0,0,0,0,0,1,0,0,0
1-26-2020,3,0,0,0,0,0,0,0,0,0
1-27-2020,0,0,0,1,0,0,0,0,0,0
1-28-2020,0,0,0,3,0,0,1,0,0,0
1-29-2020,0,0,0,0,0,0,1,0,0,0
1-30-2020,0,0,0,0,0,0,0,0,0,0
1-31-2020,2,0,2,1,2,0,0,2,0,0
2-1-2020,1,1,0,3,0,0,1,0,0,0
2-2-2020,0,0,0,2,0,0,0,0,0,0
2-3-2020,3,0,0,2,0,0,0,0,0,0
2-4-2020,0,0,0,0,0,0,0,0,0,0
2-5-2020,0,0,0,0,0,0,0,0,0,0
2-6-2020,0,0,0,0,0,0,0,0,0,0
2-7-2020,0,0,1,1,0,0,0,1,0,0
2-8-2020,0,0,0,0,0,0,5,0,0,0
2-9-2020,3,1,0,1,0,0,0,0,0,0
2-10-2020,0,0,0,0,0,0,0,5,0,0
2-11-2020,1,0,0,2,0,0,0,0,0,0
2-12-2020,0,0,0,0,2,0,2,2,0,0
2-13-2020,1,0,0,1,0,0,0,0,0,0
2-14-2020,0,0,0,0,0,0,0,0,0,0
2-15-2020,0,2,0,0,0,0,4,0,0,0
2-16-2020,0,0,0,0,0,0,0,7,0,0
2-17-2020,0,0,0,0,0,0,0,0,0,0
2-18-2020,0,0,0,11,0,0,0,0,0,0
2-19-2020,0,0,0,0,0,0,0,0,0,4
2-20-2020,0,0,0,0,0,0,0,0,0,3
2-21-2020,4,0,18,2,0,0,0,0,0,15
2-22-2020,0,0,44,0,0,0,0,0,0,11
2-23-2020,0,0,95,0,0,0,0,0,0,18
2-24-2020,36,0,77,0,0,0,0,4,0,22
2-25-2020,1,4,96,1,0,0,9,0,0,38
2-26-2020,6,7,135,11,0,1,5,0,0,96
2-27-2020,1,2,249,20,0,0,20,2,0,113
2-28-2020,3,17,238,2,0,0,19,5,0,175
2-29-2020,9,13,248,31,0,1,44,3,0,264
3-1-2020,6,39,608,51,0,0,30,13,0,448
3-2-2020,29,36,426,29,1,0,62,4,0,651
3-3-2020,21,46,504,37,0,0,14,11,0,846
3-4-2020,35,58,731,66,0,2,84,35,0,862
3-5-2020,69,38,948,220,1,0,94,30,0,793
3-6-2020,47,143,936,189,9,9,279,49,0,1425
3-7-2020,143,133,1349,130,0,0,305,54,0,1853
3-8-2020,120,180,1658,241,5,7,185,67,0,1257
3-9-2020,66,413,1996,138,0,5,83,49,0,898
3-10-2020,383,629,1145,281,3,6,589,67,0,1272
3-11-2020,330,752,2830,459,0,7,514,75,1,1249
3-12-2020,391,1,0,170,8,14,0,2,0,1150
3-13-2020,524,3043,6031,1622,17,99,1419,344,4,1374
3-14-2020,557,1545,4199,912,19,0,827,360,0,1462
3-15-2020,787,1501,4327,1212,4,11,36,16,1,2953
3-16-2020,1164,2210,3996,1504,27,39,2209,431,12,1182
3-17-2020,1823,2495,4063,1992,24,123,1032,457,30,2112
3-18-2020,1481,2305,5766,3112,33,53,1409,730,51,1339
3-19-2020,6074,4286,6164,3017,54,252,1941,117,96,1516
3-20-2020,5643,3141,6613,4618,54,177,1995,1334,168,2421
3-21-2020,6449,5833,8982,2435,56,232,1817,1109,316,1979
3-22-2020,7822,4241,7163,2703,65,535,4087,713,587,1453
3-23-2020,10767,6907,5390,4212,71,387,4066,1055,300,1538
3-24-2020,10285,6465,7294,6941,63,335,3783,1660,350,2866
3-25-2020,12363,12042,6929,4690,172,320,3866,1662,602,3061
3-26-2020,18788,10637,7914,8802,191,453,5364,2366,1212,3378
3-27-2020,18548,11048,7417,7993,204,447,4902,3218,2102,3746
3-28-2020,20477,11288,8297,8738,232,506,5040,2861,1748,3761
3-29-2020,21726,10120,6619,5230,289,377,4399,2683,1873,3736
3-30-2020,24673,10830,6452,9191,305,460,5619,3067,1704,4823
3-31-2020,28896,11194,5999,7653,564,1187,9708,3419,2831,3996
4-1-2020,27654,12506,6627,8809,516,1158,7344,5055,2301,3943
4-2-2020,32327,13004,6859,10849,822,1292,4659,4973,2617,4237
4-3-2020,33776,11754,6831,8668,651,1047,7982,5247,2924,4073
4-4-2020,39837,11424,6724,6927,643,1390,6789,4556,3391,4519
4-5-2020,32468,10033,5660,6471,682,811,3208,6619,3464,2634
4-6-2020,33167,8086,5257,3477,1007,1109,5843,4472,3507,6910
4-7-2020,35283,8742,5198,11876,1253,1995,7332,4746,4224,5025
4-8-2020,35408,11838,6477,16185,1266,2269,6367,6581,4468,4891
4-9-2020,37962,9801,6793,11250,1590,2099,7611,5516,4448,4248
4-10-2020,39213,9188,6506,5656,1901,1653,7141,10115,5126,5250
4-11-2020,34350,8720,7392,6193,1929,1156,5229,6143,5775,8444
4-12-2020,32379,7689,6200,6132,2456,1564,28216,6022,5367,3721
